Latitude,Longitude
49.2238602003454,-123.090425526949
49.2613158916217,-123.113935739267
49.2832812183075,-123.113486260577
49.2630182016568,-123.120131523468
49.2627945078481,-123.092383848432
49.2627957330897,-123.092527617098
49.2658869265889,-123.108224155208
49.263184654494,-123.185359171989
49.2911656407352,-123.132223745792
49.2649734935878,-123.13751409121
49.2421687651971,-123.059663050772
49.2387984956199,-123.064974642237
49.2627641711892,-123.088658554441
49.2638649648983,-123.171645733057
49.2842810477416,-123.109867987073
49.2843178408992,-123.10995950883
49.2847297198002,-123.109610350921
49.2806888111894,-123.131126018966
49.2805822461069,-123.096987776754
49.2805840378627,-123.097103549699
49.2805875434421,-123.0972135513
49.2810489346567,-123.100740289318
49.2810506286372,-123.100850412263
49.281566911093,-123.096214504653
49.278158539563,-123.129111950566
49.2782071802913,-123.129044159055
49.2813724907459,-123.133427569368
49.2789138422357,-123.128543522567
49.2789955619752,-123.128666100155
49.2790714492883,-123.128775601487
49.2790937518113,-123.128530117474
49.2791659258454,-123.128500744796
49.2646326475055,-123.138942463385
49.2647149558411,-123.138940632747
49.2647968144168,-123.138938800841
49.2697188361796,-123.098427232213
49.2545116074027,-123.11564443608
49.2834146431117,-123.098523954379
49.2639784628682,-123.143743446815
49.2508857913143,-123.09956778188
49.2726086774804,-123.148639320181
49.2726878495593,-123.148628147926
49.2637628603018,-123.138976279727
49.2638289806384,-123.138971654776
49.2638982459797,-123.138969787586
49.2801415364825,-123.109558247001
49.2633996039203,-123.146024064554
49.2687189514109,-123.033448881441
49.2814933045286,-123.092208431771
49.2450791499989,-123.066306324011
49.2498199393301,-123.074489048617
49.243690121562,-123.100933213156
49.243760735246,-123.100931983167
49.2440787174753,-123.100920980419
49.2796063224972,-123.067781581648
49.2623856117777,-123.097582450757
49.2483475201822,-123.090522644854
49.2678643226463,-123.043771153107
49.2819156537836,-123.06997096393
49.2819182540576,-123.070133076669
49.273702258934,-123.057044919372
49.2307094703525,-123.091023007968
49.2673831280343,-123.070030204642
49.2269863359545,-123.091109700254
49.2287657707351,-123.09028327119
49.2391128752948,-123.064997873167
49.2355910887601,-123.06587823448
49.2821180114342,-123.109519959953
49.274120779031,-123.124447881794
49.2815534217133,-123.118120698979
49.2820319211133,-123.118163806066
49.2050079064203,-123.12306151548
49.2797561341366,-123.103282272368
49.2070562212439,-123.130035958645
49.2814877113429,-123.091889980847
49.2857561954714,-123.129381418943
49.2858013529633,-123.129460191626
49.2858605654867,-123.129518787585
49.2685424016725,-123.16510129657
49.2593743095425,-123.079732711372
49.2700432142699,-123.087203948391
49.2662551149657,-123.072662108346
49.2877735916141,-123.131315460735
49.2808510834409,-123.029093724314
49.2523123728606,-123.064931666639
49.2626534142981,-123.102032095753
49.2626577419336,-123.102214217418
49.2643500634243,-123.169773335075
49.2584131723117,-123.046053218613
49.2818300505803,-123.134047553537
49.2666648592806,-123.106958001878
49.2667674050047,-123.106957536263
49.266891541698,-123.106954381955
49.2677258851758,-123.143864560437
49.2632241850097,-123.100598400136
49.2621676143113,-123.090035989867
49.2621663725886,-123.089897858189
49.2799459605273,-123.111236998945
49.2817716611418,-123.086531685164
49.2477155559913,-123.185552097854
49.291131134553,-123.144125435881
49.291217310657,-123.144260459636
49.2425149839554,-123.064884322158
49.2436342785571,-123.062702690789
49.2818222496985,-123.107914084406
49.2818414955092,-123.108014499131
49.2841782893137,-123.106785304083
49.2668334113299,-123.110363144811
49.2668363478685,-123.110575244721
49.2714957645206,-123.065256589607
49.2753207976245,-123.133399023332
49.2806495219852,-123.104079180869
