KEY,LAT,LON,VENDOR_TYPE,STATUS,BUSINESS_NAME,LOCATION,DESCRIPTION
DT67,49.281956999999998,-123.119039000000001,vendor_food,open,Mr. Arancino,West Side of Granville St - 75 Metres North of Robson St,Italian Cuisine
DT05,49.280801242943497,-123.115237361116996,vendor_food,open,Mr. Camaron,North Side of W Georgia St - 10 Metres West of Homer St,Drinks and Smoothies
GM15,49.282542325066203,-123.118453808195000,vendor_food,open,Mr. Sandwich,South Side of 700 W Georgia St - 20 Metres West of Granville St,Sandwiches
DT58,49.282584448484201,-123.121480946570003,vendor_food,open,Mr. Shawarma,North Side of 800 Robson St - East of Hornby St,Shawarma
C3,49.285361000000002,-123.120163000000005,vendor_food,open,Mr. Shawarma,Authorised Parking Meter - North Side of 1000 Melville St,Shawarma
GM16,49.283019965893203,-123.117190394480005,vendor_food,open,Mr. Shawarma,East Side of 600 Granville St - 80 Metres North of W Georgia St,Middle Eastern Cuisine
DT01,49.278746328918203,-123.112040050998999,vendor_food,open,Mr. Tube Steak,East Side of 600 Beatty St - 6 Metres North of West Georgia St,Hot Dogs
C10,49.282209486534803,-123.120684903216002,vendor_food,open,Mum's Grilled Cheese Truck,Authorised Parking Meter -West Side of 700 Howe St,Grilled Cheese and Soups
GM10,49.281297184851297,-123.120079603126996,vendor_food,open,Potato Tornado,West Side of 800 Granville St - 6 Metres South of Robson St,Potato Based Dishes
C25,49.271307845850998,-123.106548732321997,vendor_food,open,Roaming Dragon,Authorised Parking Meter East Side of 1600 Manitoba St,Asian Fusion
C7,49.283096706897098,-123.122918691376000,vendor_food,open,Roaming Dragon,Authorised Parking Meter East Side of 800 Burrard St,Asian Fusion
DT35,49.279378000000001,-123.128964999999994,vendor_food,open,Russett Shack,West Side of 1100 Burrard St - 10 Metres North of Davie St,Potato Based Dishes
EB06,49.286003000000001,-123.139739000000006,vendor_food,open,San Juan Family Farm,Authorised Parking Meter North Side of 1600 Davie St,"Fruit Shakes, Smoothies and Juices"
DT56,49.291082145303200,-123.123682322296006,vendor_food,open,Sea Dogs,Coal Harbour Seawall  - 200 Metres Northeast of Broughton St,Hot Dogs
GM21,49.282572140421500,-123.118501288120001,vendor_food,open,Soho Road Naan Kebab,South Side of 700 W Georgia St - 20 Metres West of Granville St,Indian Cuisine
